,Industry,Num Stocks,Avg. Degree,Avg. Clustering,Avg. Betweenness
14,Metals & Mining,15,8.666666666666666,0.49417450340050956,0.0010399128304988702
16,Power,15,6.533333333333333,0.33461988304093565,0.0006430470142953364
15,Oil Gas & Consumable Fuels,17,5.9411764705882355,0.30996059667886294,0.00031348110851236197
9,Financial Services,86,4.313953488372093,0.22861453962378792,0.0003289233208731158
18,Services,12,4.083333333333333,0.15486365486365486,0.00040862071100133696
3,Construction,10,3.3,0.3198412698412698,0.00020686375497870816
4,Construction Materials,10,3.1,0.3616300366300366,0.0001960776225830863
12,Information Technology,23,2.6956521739130435,0.3116287094547964,1.156816681111451e-05
17,Realty,9,2.3333333333333335,0.28431372549019607,0.00029339083761261374
1,Capital Goods,56,1.7678571428571428,0.12025602072185923,0.000330927819558888
19,Telecommunication,9,1.3333333333333333,0.13333333333333333,0.00011323472223051723
2,Chemicals,26,1.2692307692307692,0.26794871794871794,0.0005133062571787149
6,Consumer Services,17,1.2352941176470589,0.025386996904024767,0.00026293542766109117
8,Fast Moving Consumer Goods,26,0.5,0.03461538461538462,6.501184797689611e-06
5,Consumer Durables,19,0.10526315789473684,0.0,0.0
11,Healthcare,42,0.047619047619047616,0.0,0.0
0,Automobile and Auto Components,30,0.0,0.0,0.0
10,Forest Materials,1,0.0,0.0,0.0
13,Media Entertainment & Publication,3,0.0,0.0,0.0
7,Diversified,3,0.0,0.0,0.0
20,Textiles,6,0.0,0.0,0.0
